month,weekday,day,hour,value
7.0,6.0,19.0,10.0,1.534
7.0,6.0,19.0,11.0,0.38649999999999995
7.0,6.0,19.0,12.0,0.9175
7.0,6.0,19.0,13.0,0.4555
7.0,6.0,19.0,14.0,2.1145
7.0,6.0,19.0,15.0,0.7855000000000001
7.0,6.0,19.0,16.0,3.3834999999999997
7.0,6.0,19.0,17.0,4.5835
7.0,6.0,19.0,18.0,2.2125
7.0,6.0,19.0,19.0,1.0265
7.0,6.0,19.0,20.0,0.519
7.0,6.0,19.0,21.0,1.169
7.0,6.0,19.0,22.0,1.4995
7.0,6.0,19.0,23.0,1.8005
7.0,0.0,20.0,0.0,1.417
7.0,0.0,20.0,1.0,1.091
7.0,0.0,20.0,2.0,0.647
7.0,0.0,20.0,3.0,0.432
7.0,0.0,20.0,4.0,0.3605
7.0,0.0,20.0,5.0,0.3935
7.0,0.0,20.0,6.0,0.3805
7.0,0.0,20.0,7.0,0.4065
7.0,0.0,20.0,8.0,0.3685
7.0,0.0,20.0,9.0,0.756
7.0,0.0,20.0,10.0,1.0245
7.0,0.0,20.0,11.0,0.6559999999999999
7.0,0.0,20.0,12.0,2.5205
7.0,0.0,20.0,13.0,1.774
7.0,0.0,20.0,14.0,1.0525
7.0,0.0,20.0,15.0,0.40049999999999997
7.0,0.0,20.0,16.0,0.23399999999999999
7.0,0.0,20.0,17.0,0.308
7.0,0.0,20.0,18.0,1.073
7.0,0.0,20.0,19.0,4.9265
7.0,0.0,20.0,20.0,1.3769999999999998
7.0,0.0,20.0,21.0,2.1485
7.0,0.0,20.0,22.0,1.7534999999999998
7.0,0.0,20.0,23.0,1.335
7.0,1.0,21.0,0.0,1.2045
7.0,1.0,21.0,1.0,1.0725
7.0,1.0,21.0,2.0,0.4425
7.0,1.0,21.0,3.0,0.4765
7.0,1.0,21.0,4.0,0.33099999999999996
7.0,1.0,21.0,5.0,0.4185
7.0,1.0,21.0,6.0,0.349
7.0,1.0,21.0,7.0,0.355
7.0,1.0,21.0,8.0,0.202
7.0,1.0,21.0,9.0,0.536
7.0,1.0,21.0,10.0,0.23349999999999999
7.0,1.0,21.0,11.0,0.37
7.0,1.0,21.0,12.0,0.32
7.0,1.0,21.0,13.0,1.064
7.0,1.0,21.0,14.0,0.4215
7.0,1.0,21.0,15.0,0.43000000000000005
7.0,1.0,21.0,16.0,0.351
7.0,1.0,21.0,17.0,0.4595
7.0,1.0,21.0,18.0,2.2105
7.0,1.0,21.0,19.0,0.5225
7.0,1.0,21.0,20.0,0.37
7.0,1.0,21.0,21.0,1.387
7.0,1.0,21.0,22.0,4.515499999999999
7.0,1.0,21.0,23.0,2.1
7.0,2.0,22.0,0.0,1.089
7.0,2.0,22.0,1.0,0.9215
7.0,2.0,22.0,2.0,0.42000000000000004
7.0,2.0,22.0,3.0,0.422
7.0,2.0,22.0,4.0,0.3325
7.0,2.0,22.0,5.0,0.321
7.0,2.0,22.0,6.0,0.22
7.0,2.0,22.0,7.0,0.325
7.0,2.0,22.0,8.0,0.23399999999999999
7.0,2.0,22.0,9.0,0.42
7.0,2.0,22.0,10.0,1.069
7.0,2.0,22.0,11.0,1.084
7.0,2.0,22.0,12.0,0.5455
7.0,2.0,22.0,13.0,0.5765
7.0,2.0,22.0,14.0,2.1385
7.0,2.0,22.0,15.0,0.6154999999999999
7.0,2.0,22.0,16.0,0.701
7.0,2.0,22.0,17.0,2.0989999999999998
7.0,2.0,22.0,18.0,2.221
7.0,2.0,22.0,19.0,1.093
7.0,2.0,22.0,20.0,0.5655
7.0,2.0,22.0,21.0,1.125
7.0,2.0,22.0,22.0,1.4135
7.0,2.0,22.0,23.0,1.5354999999999999
7.0,3.0,23.0,0.0,1.033
7.0,3.0,23.0,1.0,1.0685
7.0,3.0,23.0,2.0,0.9275
7.0,3.0,23.0,3.0,0.385
7.0,3.0,23.0,4.0,0.34650000000000003
7.0,3.0,23.0,5.0,0.365
7.0,3.0,23.0,6.0,0.2015
7.0,3.0,23.0,7.0,0.29
7.0,3.0,23.0,8.0,1.7535
7.0,3.0,23.0,9.0,1.2725
7.0,3.0,23.0,10.0,0.432
7.0,3.0,23.0,11.0,0.532
7.0,3.0,23.0,12.0,0.432
7.0,3.0,23.0,13.0,0.3835
7.0,3.0,23.0,14.0,0.277
7.0,3.0,23.0,15.0,0.381
7.0,3.0,23.0,16.0,0.426
7.0,3.0,23.0,17.0,0.558
7.0,3.0,23.0,18.0,3.306
7.0,3.0,23.0,19.0,3.3265000000000002
7.0,3.0,23.0,20.0,0.53
7.0,3.0,23.0,21.0,0.921
7.0,3.0,23.0,22.0,0.9695
7.0,3.0,23.0,23.0,1.15
7.0,4.0,24.0,0.0,1.0234999999999999
7.0,4.0,24.0,1.0,0.848
7.0,4.0,24.0,2.0,0.784
7.0,4.0,24.0,3.0,0.40700000000000003
7.0,4.0,24.0,4.0,0.309
7.0,4.0,24.0,5.0,0.3255
7.0,4.0,24.0,6.0,0.2385
7.0,4.0,24.0,7.0,0.254
7.0,4.0,24.0,8.0,1.0205
7.0,4.0,24.0,9.0,1.7165
7.0,4.0,24.0,10.0,0.328
7.0,4.0,24.0,11.0,0.424
7.0,4.0,24.0,12.0,0.9675
7.0,4.0,24.0,13.0,2.3689999999999998
7.0,4.0,24.0,14.0,0.6799999999999999
7.0,4.0,24.0,15.0,1.2675
7.0,4.0,24.0,16.0,1.2525
7.0,4.0,24.0,17.0,4.082
7.0,4.0,24.0,18.0,4.2225
7.0,4.0,24.0,19.0,1.608
7.0,4.0,24.0,20.0,0.849
7.0,4.0,24.0,21.0,0.875
7.0,4.0,24.0,22.0,1.4025
7.0,4.0,24.0,23.0,2.1185
7.0,5.0,25.0,0.0,1.219
7.0,5.0,25.0,1.0,1.28
7.0,5.0,25.0,2.0,0.771
7.0,5.0,25.0,3.0,0.432
7.0,5.0,25.0,4.0,0.351
7.0,5.0,25.0,5.0,0.378
7.0,5.0,25.0,6.0,0.3675
7.0,5.0,25.0,7.0,0.298
7.0,5.0,25.0,8.0,0.2915
7.0,5.0,25.0,9.0,0.2945
7.0,5.0,25.0,10.0,0.33699999999999997
7.0,5.0,25.0,11.0,0.7635000000000001
7.0,5.0,25.0,12.0,1.4865000000000002
7.0,5.0,25.0,13.0,0.5345
7.0,5.0,25.0,14.0,1.4084999999999999
7.0,5.0,25.0,15.0,0.453
7.0,5.0,25.0,16.0,3.6185
7.0,5.0,25.0,17.0,0.5609999999999999
7.0,5.0,25.0,18.0,0.4455
7.0,5.0,25.0,19.0,0.6905
7.0,5.0,25.0,20.0,1.1245
7.0,5.0,25.0,21.0,3.854
7.0,5.0,25.0,22.0,2.6515000000000004
7.0,5.0,25.0,23.0,1.7584999999999997
7.0,6.0,26.0,0.0,1.4925000000000002
7.0,6.0,26.0,1.0,1.2475
7.0,6.0,26.0,2.0,0.8725
7.0,6.0,26.0,3.0,0.8445
7.0,6.0,26.0,4.0,0.8105
7.0,6.0,26.0,5.0,0.7829999999999999
7.0,6.0,26.0,6.0,0.4
7.0,6.0,26.0,7.0,0.28300000000000003
7.0,6.0,26.0,8.0,0.202
7.0,6.0,26.0,9.0,2.1695
